zipcode,city,female,male
18120 Reumasairaala-alue   ,Heinola ,460,450
18130 Tommola-Sahanniemi   ,Heinola ,991,935
18150 Jyränkö   ,Heinola ,1224,1158
18200 Kaakonlampi-Pyhätön   ,Heinola ,1079,1041
18300 Heinola kk   ,Heinola ,1389,1408
18600 Myllyoja   ,Heinola ,398,431
19110 Vierumäki taajama   ,Heinola ,318,337
19120 Vierumäki urheiluopisto   ,Heinola ,63,65
19160 Huutotöyry   ,Iitti ,246,255
19210 Lusi   ,Heinola ,217,248
19230 Onkiniemi   ,Sysm? ,59,55
19250 Syrjäkoski   ,Heinola ,24,25
19260 Paaso-Syrjäkoski   ,Heinola ,49,66
19310 Karilanmaa   ,Sysm? ,36,48
19320 Nikkaroinen   ,Sysm? ,52,51
19370 Nuoramoinen   ,Sysm? ,217,227
19410 Kuortti   ,Pertunmaa ,226,234
19420 Mansikkamäki   ,Pertunmaa ,68,87
19430 Pertunmaa Keskus   ,Pertunmaa ,407,378
19460 Ruorasmäki   ,Pertunmaa ,64,71
19470 Lihavanpää-Hartosenpää   ,Pertunmaa ,78,86
19480 Hartosenpää   ,Pertunmaa ,34,43
19510 Lepsala   ,Hartola ,17,19
19540 Koitti-Lepsala   ,Hartola ,130,164
19600 Hartola Keskus   ,Hartola ,1121,1035
19610 Murakka   ,Hartola ,43,55
19620 Pohela   ,Hartola ,84,86
19630 Kalhonkylä   ,Hartola ,43,36
19650 Joutsa Keskus   ,Joutsa ,1706,1695
19670 Mieskonmäki   ,Joutsa ,65,85
19700 Sysmä Keskus   ,Sysm? ,1536,1429
19730 Särkilampi   ,Sysm? ,0,0
19740 Liikola   ,Sysm? ,52,73
19770 Valittula   ,Sysm? ,67,63
19850 Putkijärvi-Siltasuo   ,Hartola ,39,54
19910 Tammijärvi   ,Luhanka ,213,231
19920 Pappinen   ,Joutsa ,66,96
19950 Luhanka   ,Luhanka ,142,165
20100 Turku Keskus   ,Turku ,14284,11652
20200 Iso-Heikkilä   ,Turku ,1118,1014
20210 Pahaniemi   ,Turku ,2139,2079
20240 Pansio-Perno   ,Turku ,2462,2650
20250 Pitkämäki-Muhkuri   ,Turku ,366,365
20300 Pohjola-Kastu   ,Turku ,3460,3166
20320 Kuninkoja-Mälikkälä   ,Turku ,8803,7625
20360 Kärsämäki-Urusvuori-Halinen   ,Turku ,5918,5179
20380 Räntämäki-Saramäki   ,Turku ,1435,1465
20400 Moisio   ,Turku ,1744,1687
20460 Jäkärlä   ,Turku ,1730,1836
20500 Vesilinna   ,Turku ,3387,2939
20520 Kupittaa   ,Turku ,1719,1524
20540 Nummi-Ylioppilaskylä   ,Turku ,10168,10218
20610 Varissuo   ,Turku ,6822,6347
20660 Littoinen   ,Kaarina ,3771,3651
20700 Vartiovuori-Samppalinna   ,Turku ,3234,2519
20720 Vasaramäki   ,Turku ,3422,2704
20730 Skanssi   ,Turku ,41,42
20740 Ilpoinen-Harittu   ,Turku ,5130,4401
20750 Huhkola-Lauste-Vaala   ,Turku ,2593,2516
20760 Piispanristi   ,Kaarina ,2199,2041
20780 Kaarina Keskus   ,Kaarina ,6085,5580
20800 Ammattikorkeakoulu   ,Turku ,0,0
20810 Martti-Korppolaismäki   ,Turku ,8666,7491
20880 Uittamo   ,Turku ,2201,1865
20900 Moikoinen-Pikisaari   ,Turku ,4844,4505
20960 Kakskerta   ,Turku ,713,721
21100 Naantali Keskus   ,Naantali ,3681,3171
21110 Taimo-Nuhjala-Lietsala   ,Naantali ,3842,3668
21120 Viherjäinen   ,Raisio ,949,1000
21130 Poikko   ,Naantali ,297,282
21140 Rymättylä Keskus   ,Naantali ,643,674
21150 Röölä   ,Naantali ,144,166
21160 Merimasku   ,Naantali ,838,879
21180 Livonsaari   ,Naantali ,103,115
21195 Velkua   ,Naantali ,109,116
21200 Raisio Keskus   ,Raisio ,6390,5624
21210 Hakinmäki   ,Raisio ,1262,1325
21220 Somersoja   ,Raisio ,661,704
21230 Lemu   ,Masku ,910,961
21240 Askainen Keskus   ,Masku ,426,449
21250 Masku   ,Masku ,3305,3386
21260 Ihala   ,Raisio ,1799,1848
21270 Nousiainen   ,Nousiainen ,2396,2464
21280 Kuloinen   ,Raisio ,1134,1113
21290 Rusko   ,Rusko ,2115,2011
21310 Vahto   ,Rusko ,902,922
21330 Paattinen   ,Turku ,928,921
21340 Tortinmäki   ,Turku ,258,273
21350 Ilmarinen   ,Lieto ,947,994
21360 Lieto Asemanseutu   ,Lieto ,849,939
21370 Aura kk.   ,Aura ,283,302
21380 Aura Keskus   ,Aura ,1789,1659
21410 Vanhalinna   ,Lieto ,1139,1123
21420 Lieto Keskus   ,Lieto ,3997,3756
21430 Yliskulma   ,Lieto ,407,422
21450 Tarvasjoki Keskus   ,Lieto ,939,916
21480 Prunkila   ,Marttila ,180,188
21490 Marttila   ,Marttila ,588,520
21500 Piikkiö   ,Kaarina ,3589,3596
21510 Hevonpää   ,Paimio ,227,248
21520 Naskarla   ,Paimio ,0,0
21530 Paimio Keskus   ,Paimio ,4309,4074
21540 Preitilä   ,Paimio ,662,686
21555 Taatila   ,Paimio ,146,171
21560 Ollila   ,Marttila ,228,286
21570 Sauvo Keskus   ,Sauvo ,1275,1266
21590 Karuna   ,Sauvo ,211,238
21600 Parainen Keskus   ,Parainen ,5490,5228
21610 Kirjala   ,Parainen ,546,573
21620 Kuusisto   ,Kaarina ,1073,1039
21630 Lielahti   ,Parainen ,281,292
21650 Lillandet   ,Parainen ,216,229
21660 Nauvo Keskus   ,Parainen ,385,355
21670 Mattnäs-Nötö   ,Parainen ,98,108
21680 Nötö   ,Parainen ,0,0
21710 Korppoo Keskus-Utö   ,Parainen ,330,319
21720 Korpoström   ,Parainen ,0,0
21740 Utö   ,Parainen ,18,23
21750 Norrskata   ,Parainen ,47,55
21760 Houtskär Keskus   ,Parainen ,183,220
21770 Mossala   ,Parainen ,57,67
21800 Kyrö   ,P?yty? ,1246,1259
21820 Kumila   ,P?yty? ,172,185
21840 Karinainen   ,P?yty? ,178,187
21860 Auvainen   ,P?yty? ,196,224
21870 Riihikoski   ,P?yty? ,965,984
21880 Pöytyä   ,P?yty? ,189,213
21890 Haveri   ,P?yty? ,124,146
21900 Yläne Keskus   ,P?yty? ,762,762
21930 Uusikartano   ,P?yty? ,248,291
22100 Maarianhamina   ,Maarianhamina ,5955,5512
22120 Möckelö   ,Jomala ,395,422
22130 Gottby   ,Jomala ,433,417
22140 Önningby   ,Jomala ,547,611
22150 Jomala Centrum   ,Jomala ,865,903
22160 Järsö   ,Lemland ,160,170
22220 Emkarby   ,Finstr?m ,199,207
22240 Hammarland   ,Hammarland ,733,768
22270 Storby   ,Ecker? ,435,485
22310 Pålsböle   ,Finstr?m ,243,264
22320 Ödkarby   ,Saltvik ,402,421
22330 Tjudö   ,Finstr?m ,153,147
22340 Geta   ,Geta ,243,251
22410 Godby   ,Finstr?m ,793,765
22430 Saltvik   ,Saltvik ,359,338
22520 Tosarby   ,Sund ,237,259
22530 Sund   ,Sund ,267,259
22550 Vårdö   ,V?rd? ,209,205
22610 Lemland   ,Lemland ,740,752
22630 Lumparland   ,Lumparland ,190,219
22710 Ålands Degerby   ,F?gl? ,259,281
22720 Sottunga   ,Sottunga ,43,51
22730 Kökar   ,K?kar ,112,134
22810 Seglinge   ,Kumlinge ,20,14
22820 Kumlinge   ,Kumlinge ,86,105
22830 Enklinge   ,Kumlinge ,35,40
22840 Lappo   ,Br?nd? ,28,44
22910 Torsholma   ,Br?nd? ,40,49
22920 Brändö-Åland   ,Br?nd? ,77,80
22930 Fiskö   ,Br?nd? ,18,15
22940 Åva   ,Br?nd? ,32,52
22950 Jurmo   ,Br?nd? ,20,23
23100 Mynämäki Keskus   ,Myn?m?ki ,3128,3073
23120 Mietoinen Keskus   ,Myn?m?ki ,440,456
23140 Hietamäki   ,Myn?m?ki ,324,347
23200 Vinkkilä   ,Vehmaa ,788,778
23210 Vehmaa   ,Vehmaa ,271,288
23260 Rautila   ,Vehmaa ,100,88
23310 Taivassalo   ,Taivassalo ,794,829
23360 Kustavi   ,Kustavi ,430,455
23390 Iniö   ,Parainen ,110,112
23450 Lokalahti   ,Uusikaupunki ,478,488
23500 Uusikaupunki Keskus   ,Uusikaupunki ,5657,5584
23600 Kalanti Keskus   ,Uusikaupunki ,1092,1146
23660 Kalanti Asemanseutu   ,Uusikaupunki ,203,198
23800 Laitila Keskus   ,Laitila ,4097,3994
23840 Soukainen   ,Laitila ,90,83
23880 Suontaka   ,Laitila ,46,56
23930 Pyhämaa   ,Uusikaupunki ,251,280
23950 Pyhäranta   ,Pyh?ranta ,255,275
23960 Santtio   ,Pyh?ranta ,127,119
24100 Salo Keskus   ,Salo ,4977,4117
24130 Ylhäisi   ,Salo ,1983,1927
24240 Rappula   ,Salo ,2093,1904
24260 Ollikkala   ,Salo ,2280,2169
24280 Tupuri-Hähkänä   ,Salo ,2604,2596
24800 Halikko Keskus   ,Salo ,2396,2215
24910 Halikko Asemanseutu   ,Salo ,542,570
25110 Kruusila   ,Salo ,161,187
25130 Muurla   ,Salo ,741,799
25160 Tuohittu   ,Salo ,53,56
25170 Kotalato   ,Salo ,66,74
25180 Romsila   ,Salo ,120,125
25190 Inkere   ,Salo ,490,528
25210 Vartsala   ,Salo ,201,216
25230 Angelniemi   ,Salo ,185,183
25240 Hajala   ,Salo ,311,349
25250 Märynummi   ,Salo ,520,512
25260 Vaskio   ,Salo ,524,530
25320 Raatala   ,Salo ,201,232
25330 Kuusjoki Keskus   ,Salo ,391,423
25340 Kanunki   ,Salo ,188,216
25360 Pertteli Keskus   ,Salo ,624,610
25370 Hiisi   ,Salo ,323,364
25380 Rekijoki   ,Salo ,244,243
25390 Kiikala Keskus   ,Salo ,395,433
25410 Suomusjärvi Keskus   ,Salo ,581,563
25420 Lahnajärvi   ,Salo ,74,72
25430 Kettula   ,Salo ,31,36
25460 Toija   ,Salo ,569,639
25470 Kisko kk   ,Salo ,133,155
25500 Perniö Keskus   ,Salo ,1781,1681
25520 Perniö Asemanseutu   ,Salo ,326,322
25540 Knaapila   ,Salo ,108,107
25550 Aijala   ,Salo ,43,49
25560 Koski Asemanseutu   ,Salo ,98,124
25570 Teijo-Mathildedal   ,Salo ,291,280
25610 Ylönkylä   ,Salo ,193,220
25630 Finby   ,Salo ,150,145
25640 Förby   ,Salo ,124,129
25650 Strömma   ,Kemi?nsaari ,51,58
25660 Mathildedal   ,Salo ,63,71
25700 Kemiö Keskus   ,Kemi?nsaari ,1210,1147
25710 Vreta-Vestlax   ,Kemi?nsaari ,151,172
25730 Mjösund   ,Kemi?nsaari ,53,50
25760 Kiila   ,Kemi?nsaari ,63,73
25810 Mark   ,Kemi?nsaari ,24,36
25820 Vestlax   ,Kemi?nsaari ,47,56
25830 Västanfjärd Keskus   ,Kemi?nsaari ,227,245
25840 Nivelax   ,Kemi?nsaari ,136,146
25860 Björkboda   ,Kemi?nsaari ,168,162
25870 Dragsfjärd   ,Kemi?nsaari ,470,460
25900 Taalintehdas   ,Kemi?nsaari ,682,703
25910 Vänoxa   ,Kemi?nsaari ,0,0
25930 Kasnäs   ,Kemi?nsaari ,41,34
25940 Hiittinen   ,Kemi?nsaari ,31,36
25950 Rosala-Kasnäs-Hitis   ,Kemi?nsaari ,52,63
25960 Högsåra   ,Kemi?nsaari ,25,19
26100 Rauma Keskus   ,Rauma ,8458,7588
26200 Merirauma-Kappelinluhta   ,Rauma ,2513,2538
26410 Kaaro   ,Rauma ,788,814
26510 Uotila   ,Rauma ,1308,1362
26560 Kolla   ,Rauma ,351,370
26660 Paroalho   ,Rauma ,2510,2454
26720 Monnanummi   ,Rauma ,195,194
26740 Vasarainen   ,Rauma ,257,280
26820 Sampaanala   ,Rauma ,723,831
26840 Kortela   ,Rauma ,381,432
26910 Unaja   ,Rauma ,342,348
26930 Vermuntila   ,Rauma ,274,338
26950 Voiluoto   ,Rauma ,174,208
27100 Eurajoki Keskus   ,Eurajoki ,1719,1653
27110 Irjanne   ,Eurajoki ,279,297
27130 Eurajoki asemanseutu   ,Eurajoki ,156,176
27150 Lapijoki   ,Eurajoki ,617,653
27160 Olkiluoto   ,Eurajoki ,0,0
27170 Kuivalahti   ,Eurajoki ,171,177
27220 Ala-Kieri   ,Rauma ,297,338
27230 Lappi   ,Rauma ,1045,1035
27250 Kodiksami   ,Rauma ,67,80
27260 Kuolimaa   ,Rauma ,88,101
27310 Kodisjoki   ,Rauma ,265,269
27320 Ihode   ,Pyh?ranta ,380,384
27340 Reila   ,Pyh?ranta ,227,264
27400 Kiukainen Keskus   ,Eura ,675,690
27420 Panelia Asemanseutu   ,Eura ,130,137
27430 Panelia   ,Eura ,596,627
27450 Harola   ,Eura ,100,116
27500 Kauttua   ,Eura ,1617,1638
27510 Eura Keskus   ,Eura ,2162,2063
27600 Hinnerjoki   ,Eura ,348,387
27640 Honkilahti kk   ,Eura ,144,164
27650 Honkilahti   ,Eura ,154,157
27670 Mannila   ,Eura ,91,88
27710 Köyliö Keskus   ,S?kyl? ,526,549
27730 Tuiskula   ,S?kyl? ,105,97
27740 Voitoinen   ,S?kyl? ,76,92
27750 Yttilä   ,S?kyl? ,167,175
27800 Säkylä Keskus   ,S?kyl? ,1656,1520
27820 Iso-Vimma   ,S?kyl? ,370,379
27840 Kakkuri   ,S?kyl? ,228,233
27860 Vuori   ,S?kyl? ,161,182
27910 Huovinrinne   ,S?kyl? ,79,84
27920 Otajoki   ,S?kyl? ,122,150
28100 Pori Keskus   ,Pori ,7050,5507
28120 Käppärä-Isomäki   ,Pori ,1878,1791
28130 Impola   ,Pori ,3328,2883
28190 Pormestarinluoto   ,Pori ,1993,1803
28200 Toejoki   ,Pori ,2438,2387
28220 Ruosniemi   ,Pori ,2427,2512
28240 Isojoenranta   ,Pori ,346,399
28260 Harjunpää   ,Ulvila ,478,509
28300 Kalaholma-Väinölä   ,Pori ,1315,1295
28330 Koivistonluoto   ,Pori ,1435,1364
28360 Vanhakoivisto   ,Pori ,2327,2051
28370 Sampola   ,Pori ,1669,1470
28400 Ulvila Keskus   ,Ulvila ,2942,2763
28430 Kartano-Harmaalinna   ,Pori ,843,837
28450 Vanha-Ulvila   ,Ulvila ,2208,2118
28500 Keskussairaala-alue-Tiilimäki   ,Pori ,519,397
28540 Pinomäki   ,Pori ,312,340
28560 Lattomeri   ,Pori ,227,260
28580 Niittymaa   ,Pori ,287,300
28600 Vähärauma   ,Pori ,2427,2511
28610 Musa-Tiiliruukki   ,Pori ,1930,2014
28660 Pietniemi-Leppäkorpi   ,Pori ,1955,1924
28760 Kyläsaari   ,Pori ,1173,1161
28800 Pihlava   ,Pori ,2119,2218
28840 Yyteri-Kaanaa   ,Pori ,452,471
28880 Mäntyluoto   ,Pori ,194,211
28900 Tahkoluoto-Reposaari   ,Pori ,497,501
29100 Luvia Keskus   ,Eurajoki ,1518,1549
29180 Peränkylä   ,Eurajoki ,123,138
29200 Harjavalta Keskus   ,Harjavalta ,3711,3519
29250 Nakkila Keskus   ,Nakkila ,2441,2384
29270 Hormisto   ,Nakkila ,227,233
29280 Järvimaa   ,Nakkila ,140,146
29310 Kaasmarkku   ,Ulvila ,270,315
29320 Leineperi   ,Ulvila ,110,121
29340 Kullaa Keskus   ,Ulvila ,435,493
29350 Palus   ,Ulvila ,143,165
29570 Söörmarkku   ,Pori ,494,499
29600 Noormarkku Keskus   ,Pori ,2529,2348
29630 Pomarkku Keskus   ,Pomarkku ,939,977
29640 Honkakoski   ,Pomarkku ,137,148
29680 Kairila   ,Pori ,132,177
29700 Ahlainen   ,Pori ,400,422
29720 Lamppi   ,Pori ,111,94
29740 Etelämaa   ,Merikarvia ,52,58
29750 Pohjansaha   ,Merikarvia ,55,59
29760 Köörtilä   ,Merikarvia ,41,50
29790 Tuorila   ,Merikarvia ,154,160
29810 Siikainen Keskus   ,Siikainen ,423,460
29830 Sammi   ,Siikainen ,85,114
29860 Otamo   ,Siikainen ,59,75
29880 Leväsjoki-Saarineva   ,Siikainen ,103,108
29900 Merikarvia Keskus-Rannikko   ,Merikarvia ,1169,1086
29940 Kuvaskangas   ,Merikarvia ,122,144
30100 Forssa Keskus   ,Tammela ,5375,5049
30300 Viksberg   ,Forssa ,1323,1263
30420 Tölö   ,Forssa ,2564,2323
31110 Matku   ,Forssa ,261,321
31130 Koijärvi   ,Forssa ,114,146
31140 Menonen   ,Urjala ,96,89
31160 Nuutajärvi   ,Urjala ,155,127
31170 Savijoki   ,Forssa ,100,101
31230 Susikas   ,Tammela ,95,110
31250 Teuro   ,Tammela ,100,115
31300 Tammela Keskus   ,Tammela ,1633,1500
31310 Mustiala   ,Tammela ,49,42
31340 Porras   ,Tammela ,262,305
31350 Vistinkoski   ,Tammela ,112,130
31370 Eerikkilän Urheiluopisto   ,Tammela ,0,0
31380 Letku-Torro   ,Tammela ,176,171
31400 Somero Keskus   ,Somero ,3256,3022
31410 Ylöpirtti   ,Somero ,176,193
31450 Häntälä   ,Somero ,159,198
31460 Hirsjärvi   ,Somero ,120,132
31470 Somerniemi   ,Somero ,326,364
31490 Terttilä   ,Somero ,124,133
31500 Koski Tl   ,Koski Tl ,1220,1200
31520 Pitkäjärvi   ,Somero ,267,263
31530 Pyöli   ,Somero ,151,165
31600 Jokioinen Keskus   ,Jokioinen ,1949,1808
31610 Vaulammi   ,Jokioinen ,225,239
31620 Latovainio   ,Jokioinen ,197,224
31630 Minkiö   ,Jokioinen ,286,325
31640 Humppila Keskus   ,Humppila ,1071,1095
31650 Venäjänkangas   ,Humppila ,92,121
31700 Urjala Asemanseutu-Hanhisuo   ,Urjala ,703,756
31720 Urjalankylä-Kehro   ,Urjala ,187,188
31730 Honkola   ,Urjala ,55,67
31750 Kehro   ,Urjala ,26,26
31760 Urjala Keskus   ,Urjala ,1011,876
31810 Oriniemi   ,Punkalaidun ,192,209
31830 Halkivaha   ,Urjala ,147,155
31850 Koskioinen   ,Punkalaidun ,78,73
31860 Tursa   ,Urjala ,141,173
31900 Punkalaidun Keskus   ,Punkalaidun ,954,951
31930 Vanttila   ,Punkalaidun ,46,71
31950 Sadonmaa   ,Punkalaidun ,80,87
31960 Orisuo   ,Loimaa ,27,45
31970 Kanteenmaa   ,Punkalaidun ,73,87
32100 Ypäjä Keskus   ,Yp?j? ,1023,1027
32140 Ypäjä Asemanseutu   ,Yp?j? ,156,160
32200 Loimaa Keskus   ,Loimaa ,4383,3934
32210 Loimaa kk   ,Loimaa ,1216,1188
32250 Kojonkulma   ,Loimaa ,153,167
32260 Kojonperä   ,Loimaa ,77,88
32270 Metsämaa-Murto   ,Loimaa ,222,251
32280 Metsäkorpi   ,Loimaa ,85,90
32300 Mellilä   ,Loimaa ,627,695
32410 Niinijoki   ,Loimaa ,267,314
32430 Ylhäinen   ,Loimaa ,42,47
32440 Alastaro Keskus   ,Loimaa ,879,920
32450 Tammiainen   ,Loimaa ,118,151
32500 Oripää Keskus   ,Orip?? ,613,585
32520 Latva   ,Orip?? ,64,89
32560 Virttaa   ,Loimaa ,214,238
32610 Vampula Keskus   ,Huittinen ,511,540
32620 Rutava   ,Huittinen ,181,221
32700 Huittinen Keskus   ,Huittinen ,4090,3827
32710 Sampu   ,Huittinen ,294,327
32730 Keikyä   ,Sastamala ,382,378
32740 Äetsä Keskus   ,Sastamala ,887,912
32760 Suttila   ,Huittinen ,87,92
32770 Huhtamo   ,Huittinen ,102,119
32800 Kokemäki Keskus   ,Kokem?ki ,2084,1975
32810 Peipohja   ,Kokem?ki ,954,940
32830 Riste   ,Kokem?ki ,250,245
32860 Korkeaoja   ,Kokem?ki ,68,95
32910 Kauvatsa Asemanseutu   ,Kokem?ki ,140,152
32920 Kauvatsa   ,Kokem?ki ,289,305
33100 Tampere Keskus   ,Tampere ,8907,7886
33180 Lapinniemi-Käpylä   ,Tampere ,1310,986
33200 Tampere Keskus Läntinen   ,Tampere ,3696,3055
33210 Itä-Amuri-Tammerkoski   ,Tampere ,3256,2673
33230 Länsi-Amuri   ,Tampere ,3301,2667
33240 Tahmela   ,Tampere ,848,805
33250 Pispala   ,Tampere ,1183,1156
33270 Epilä   ,Tampere ,3990,3535
33300 Rahola   ,Tampere ,2645,2441
33310 Tesoma   ,Tampere ,3922,3440
33330 Myllypuro-Kalkku   ,Tampere ,1708,1699
33340 Haukiluoma-Ikuri   ,Tampere ,2622,2540
33380 Pitkäniemi   ,Nokia ,13,19
33400 Luoteis-Tampere   ,Tampere ,4110,3793
33410 Lentävänniemi   ,Tampere ,2408,2103
33420 Lamminpää   ,Tampere ,1072,1049
33430 Vuorentausta   ,Yl?j?rvi ,1463,1459
33450 Siivikkala   ,Yl?j?rvi ,1406,1463
33470 Ylöjärvi Keskus   ,Yl?j?rvi ,3272,2968
33480 Manninmäki-Haavisto   ,Yl?j?rvi ,3781,3579
33500 Osmonmäki-Petsamo   ,Tampere ,6172,4947
33520 Keskussairaala-alue-Kauppi   ,Tampere ,502,468
33530 Kissanmaa   ,Tampere ,2360,2466
33540 Kaleva   ,Tampere ,4708,3939
33560 Takahuhti   ,Tampere ,5390,4710
33580 Atala-Linnainmaa   ,Tampere ,7853,7338
33610 Olkahinen-Tasanne   ,Tampere ,1940,1970
33680 Aitolahti   ,Tampere ,842,859
33700 Messukylä   ,Tampere ,870,901
33710 Kaukajärvi   ,Tampere ,9236,8665
33720 Hervanta   ,Tampere ,11629,13151
33730 Leinola-Vehmainen   ,Tampere ,885,931
33800 Nekala   ,Tampere ,2670,2560
33820 Koivistonkylä   ,Tampere ,4688,4622
33840 Peltolammi   ,Tampere ,1765,1713
33850 Multisilta   ,Pirkkala ,1268,1211
33870 Vuores   ,Lemp??l? ,1075,1017
33880 Höytämö   ,Lemp??l? ,1887,1940
33900 Härmälä-Rantaperkiö   ,Tampere ,5535,5107
33920 Toivio   ,Pirkkala ,634,642
33950 Killo   ,Pirkkala ,2838,2647
33960 Suuppa   ,Pirkkala ,5316,5170
33980 Pirkkala kk   ,Pirkkala ,669,759
34110 Lakiala   ,Yl?j?rvi ,655,694
34130 Ylinen   ,Yl?j?rvi ,610,713
34140 Mutala   ,Yl?j?rvi ,383,422
34150 Kyrönlahti   ,Yl?j?rvi ,192,223
34180 Länsi-Teisko   ,Yl?j?rvi ,68,85
34240 Kämmenteisko   ,Tampere ,826,878
34260 Terälahti   ,Tampere ,442,447
34270 Velaatta   ,Tampere ,129,171
34300 Kuru Keskus   ,Yl?j?rvi ,756,800
34320 Parkkuu   ,Yl?j?rvi ,109,119
34330 Poikelus   ,Yl?j?rvi ,132,147
34410 Murole   ,Ruovesi ,86,90
34420 Muroleen Kanava   ,Ruovesi ,24,25
34430 Kekkonen   ,Ruovesi ,61,65
34450 Jäminkipohja   ,Ruovesi ,148,191
34510 Luode   ,Yl?j?rvi ,51,52
34530 Länsi-Aure   ,Yl?j?rvi ,32,46
34550 Itä-Aure   ,Yl?j?rvi ,59,99
34600 Ruovesi Keskus-Nenonen   ,Ruovesi ,1355,1280
34640 Mustajärvi   ,Ruovesi ,101,110
34710 Vaskivesi   ,Virrat ,175,197
34730 Vaskuu   ,Virrat ,48,53
34740 Koro   ,Virrat ,34,48
34770 Kurjenkylä   ,Virrat ,107,127
34800 Virrat Keskus   ,Virrat ,2366,2248
34870 Visuvesi   ,Ruovesi ,279,313
34910 Äijänneva   ,Virrat ,44,62
34930 Liedenpohja   ,Virrat ,158,158
34950 Ohtola   ,Virrat ,105,113
34970 Toisvesi   ,Virrat ,54,55
34980 Killinkoski   ,Virrat ,187,182
35100 Orivesi Asemanseutu   ,Orivesi ,1498,1516
35220 Eräjärvi   ,Orivesi ,259,255
35240 Ristakallio   ,Orivesi ,99,92
35260 Leväslahti   ,Orivesi ,0,0
35270 Västilä   ,Orivesi ,72,83
35300 Orivesi Keskus   ,Orivesi ,2434,2207
35320 Hirsilä   ,Orivesi ,277,301
35400 Länkipohja   ,J?ms? ,454,467
35420 Talviainen   ,Orivesi ,49,60
35480 Längelmäki   ,Orivesi ,28,32
35500 Korkeakoski   ,Juupajoki ,534,545
35520 Pirttikangas   ,Juupajoki ,35,36
35530 Lyly   ,Juupajoki ,135,149
35540 Juupajoki   ,Juupajoki ,212,236
35550 Salokunta   ,Juupajoki ,77,80
35600 Halli   ,J?ms? ,658,699
35610 Pihlaisto   ,J?ms? ,46,43
35630 Suinula-Valkamanperä   ,J?ms? ,86,93
35700 Vilppula Keskus   ,M?ntt?-Vilppula ,1728,1685
35740 Ylä-Vääri   ,Ruovesi ,54,54
35750 Väärinmaja   ,Ruovesi ,132,159
35800 Mänttä   ,M?ntt?-Vilppula ,2218,1957
35820 Asemakulma-Mustalahti   ,J?ms? ,1015,1112
35990 Kolho   ,M?ntt?-Vilppula ,571,569
36100 Kangasala Asemanseutu   ,Kangasala ,552,628
36110 Ruutana   ,Kangasala ,1368,1468
36120 Suinula-Haviseva   ,Kangasala ,532,581
36200 Kangasala Keskus   ,Kangasala ,5161,4805
36220 Suorama   ,Kangasala ,2501,2432
36240 Nattari   ,Kangasala ,2370,2333
36270 Huutijärvi   ,Kangasala ,692,726
36280 Pikonlinna   ,Kangasala ,74,56
36340 Tohkala   ,Kangasala ,126,132
36420 Sahalahti Keskus   ,Kangasala ,913,865
36430 Pakkala   ,Kangasala ,224,245
36450 Salmentaka   ,P?lk?ne ,108,116
36520 Raikku   ,Kangasala ,171,198
36570 Kaivanto   ,Kangasala ,147,157
36600 Pälkäne Keskus   ,P?lk?ne ,1787,1697
36640 Iltasmäki   ,P?lk?ne ,194,204
36660 Laitikkala   ,P?lk?ne ,102,112
36720 Aitoo   ,P?lk?ne ,277,292
36760 Luopioinen Keskus   ,P?lk?ne ,421,405
36810 Kuhmalahti Keskus   ,Kangasala ,265,275
36840 Kuhmajärvi   ,Kangasala ,167,159
36880 Vehkajärvi   ,Kangasala ,66,75
36910 Rautajärvi   ,P?lk?ne ,193,189
36930 Kyynärö   ,P?lk?ne ,84,95
37100 Nokia Keskus   ,Nokia ,3550,3022
37120 Koskenmäki   ,Nokia ,5123,5141
37130 Alhoniitty   ,Nokia ,2348,2364
37140 Harjuniitty   ,Nokia ,1265,1288
37150 Kankaantaka   ,Nokia ,2111,2010
37180 Sarkola   ,Nokia ,192,201
37200 Siuro   ,Nokia ,1227,1299
37210 Kulovesi   ,Nokia ,0,0
37240 Linnavuori   ,Nokia ,361,432
37310 Tottijärvi   ,Nokia ,407,452
37350 Rämsöö   ,Vesilahti ,73,79
37370 Narva   ,Vesilahti ,506,561
37380 Krääkkiö   ,Vesilahti ,86,99
37420 Valkkinen   ,Vesilahti ,409,403
37470 Vesilahti Keskus   ,Vesilahti ,980,1015
37500 Lempäälä Keskus   ,Lemp??l? ,4178,3912
37530 Säijä   ,Lemp??l? ,255,286
37550 Kuivaspää   ,Lemp??l? ,2496,2437
37560 Kulju   ,Lemp??l? ,2249,2308
37570 Koivuniemi   ,Lemp??l? ,204,234
37600 Valkeakoski Keskus   ,Valkeakoski ,5874,5615
37630 Vääräkoivu   ,Valkeakoski ,3664,3545
37700 Sääksmäki   ,Valkeakoski ,233,226
37720 Ritvala   ,Valkeakoski ,100,108
37740 Haukila   ,Valkeakoski ,147,153
37770 Tarttila   ,Valkeakoski ,251,227
37800 Toijala keskus   ,Akaa ,4775,4641
37830 Viiala Keskus   ,Akaa ,2857,2811
37850 Metsäkansa   ,Valkeakoski ,176,172
37860 Kärjenniemi   ,Valkeakoski ,442,450
37900 Kylmäkoski Asemanseutu   ,Akaa ,137,160
37910 Kylmäkoski Keskus   ,Akaa ,656,687
37960 Sotkia   ,Akaa ,127,136
38100 Karkku   ,Sastamala ,422,443
38120 Kutala   ,Sastamala ,104,124
38130 Ellivuori   ,Sastamala ,0,0
