zipcode,city,female,male
01710 Pähkinärinne   ,Vantaa ,2628,2442
01720 Petikko   ,Vantaa ,29,38
01730 Vantaanpuisto   ,Vantaa ,1157,1295
01740 Tuupakan teollisuusalue   ,Vantaa ,91,108
01750 Keimola   ,Vantaa ,411,432
01760 Seutula   ,Vantaa ,1051,1066
01770 Martinlaakson teollisuusalue   ,Vantaa ,0,0
01800 Klaukkala Keskus   ,Nurmij?rvi ,4043,3782
01810 Luhtajoki   ,Nurmij?rvi ,343,380
01820 Haikala   ,Nurmij?rvi ,1770,1679
01830 Lepsämä   ,Nurmij?rvi ,1208,1266
01840 Klaukkala   ,Nurmij?rvi ,2156,2077
01860 Perttula   ,Nurmij?rvi ,1004,1143
01900 Nurmijärvi Keskus   ,Nurmij?rvi ,4575,4416
01940 Palojoki   ,Nurmij?rvi ,380,393
02100 Tapiola   ,Espoo ,2346,1986
02110 Otsolahti   ,Espoo ,1430,1300
02120 Länsikorkee-Suvikumpu   ,Espoo ,1469,1345
02130 Pohjois-Tapiola   ,Espoo ,3018,2965
02140 Laajalahti   ,Espoo ,1836,1853
02150 Otaniemi   ,Espoo ,1157,2738
02160 Westend   ,Espoo ,1617,1577
02170 Haukilahti   ,Espoo ,2981,2698
02180 Mankkaa   ,Espoo ,3495,3291
02200 Niittykumpu   ,Espoo ,5452,5276
02210 Olari   ,Espoo ,5784,5402
02230 Matinkylä   ,Espoo ,10632,9765
02240 Friisilä   ,Espoo ,1052,1032
02260 Kaitaa   ,Espoo ,1934,1775
02270 Finnoo-Eestinmalmi   ,Espoo ,1133,1146
02280 Malminmäki-Eestinlaakso   ,Espoo ,2233,2202
02290 Puolarmetsän sairaala   ,Espoo ,0,0
02300 Nöykkiönpuro   ,Espoo ,1268,1258
02320 Espoonlahti   ,Espoo ,8665,7657
02330 Saunalahti-Kattilalaakso   ,Espoo ,4374,4363
02340 Latokaski   ,Espoo ,2551,2490
02360 Soukka   ,Espoo ,4953,4629
02380 Suvisaaristo   ,Espoo ,318,324
02400 Kirkkonummi Keskus   ,Kirkkonummi ,6376,5971
02410 Gesterby   ,Kirkkonummi ,1040,1076
02420 Jorvas   ,Kirkkonummi ,932,924
02430 Masala   ,Kirkkonummi ,2161,2158
02440 Luoma   ,Kirkkonummi ,323,297
02450 Sundsberg   ,Kirkkonummi ,1048,979
02460 Kantvik   ,Kirkkonummi ,847,909
02470 Upinniemi   ,Kirkkonummi ,148,193
02480 Porkkala   ,Kirkkonummi ,2188,2261
02490 Pikkala   ,Siuntio ,142,173
02510 Oitmäki   ,Kirkkonummi ,241,261
02520 Lapinkylä   ,Kirkkonummi ,399,393
02540 Kylmälä   ,Kirkkonummi ,339,329
02550 Evitskog   ,Kirkkonummi ,409,462
02570 Siuntio Kirkonkylä   ,Siuntio ,634,690
02580 Siuntio Asemanseutu   ,Siuntio ,1744,1690
02590 Lappers   ,Siuntio ,117,129
02600 Etelä-Leppävaara   ,Espoo ,5423,5406
02610 Kilo   ,Espoo ,2940,3171
02620 Karakallio   ,Espoo ,4358,4007
02630 Nihtisilta   ,Espoo ,1709,1641
02650 Pohjois-Leppävaara   ,Espoo ,5184,5126
02660 Lintuvaara   ,Espoo ,2993,3144
02680 Uusmäki   ,Espoo ,1080,1019
02700 Kauniainen   ,Kauniainen ,4826,4540
02710 Viherlaakso   ,Espoo ,3225,2853
02720 Lähderanta   ,Espoo ,1542,1466
02730 Jupperi   ,Espoo ,2231,2253
02740 Bemböle-Pakankylä   ,Espoo ,1635,1546
02750 Sepänkylä-Kuurinniitty   ,Espoo ,3095,3045
02760 Tuomarila-Suvela   ,Espoo ,7373,6987
02770 Espoon Keskus   ,Espoo ,5261,5140
02780 Kauklahti   ,Espoo ,4658,4651
02810 Gumböle-Karhusuo   ,Espoo ,823,841
02820 Nupuri-Nuuksio   ,Espoo ,679,709
02860 Siikajärvi   ,Espoo ,339,344
02880 Veikkola   ,Kirkkonummi ,2935,2901
02920 Niipperi   ,Espoo ,2627,2617
02940 Lippajärvi-Järvenperä   ,Espoo ,5150,4990
02970 Kalajärvi   ,Espoo ,1803,1882
02980 Lakisto   ,Espoo ,184,188
03100 Nummela   ,Vihti ,7737,7282
03150 Huhmari   ,Vihti ,394,388
